obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""92.315027375""","=""""","=""""",,"=""0.00000000000000""","=""[13.430554262]""","=""1s""","=""2S""","=""1/2""","=""9d""","=""2D""","=""5/2""",E2,
"=""92.31503159""","=""""","=""""",,"=""0.00000000000000""","=""[13.430553648]""","=""1s""","=""2S""","=""1/2""","=""9s""","=""2S""","=""1/2""",M1,
"=""92.3151""","=""""","=""""",,"=""0.00000000000000""","=""[13.430554098]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",,
"=""92.3151""","=""""","=""""",,"=""0.00000000000000""","=""[13.430553600]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",,
"=""92.6229""","=""""","=""""",,"=""0.00000000000000""","=""[13.38596078751]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",,
"=""92.6229""","=""""","=""""",,"=""0.00000000000000""","=""[13.38596007869]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",,
"=""92.6249""","=""11000""","=""3.8694e+05""",AAA,"=""0.00000000000000""","=""13.38596103""","=""1s""","=""2S""","=""1/2""","=""8""","=""""","=""""",,
"=""93.074815048""","=""""","=""""",,"=""0.00000000000000""","=""[13.320918056]""","=""1s""","=""2S""","=""1/2""","=""7d""","=""2D""","=""5/2""",E2,
"=""93.07482418""","=""""","=""""",,"=""0.00000000000000""","=""[13.320916750]""","=""1s""","=""2S""","=""1/2""","=""7s""","=""2S""","=""1/2""",M1,
"=""93.0749""","=""""","=""""",,"=""0.00000000000000""","=""[13.320917704]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,
"=""93.0749""","=""""","=""""",,"=""0.00000000000000""","=""[13.320916647]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,
"=""93.0751""","=""5600""","=""7.5684e+05""",AAA,"=""0.00000000000000""","=""13.32091817""","=""1s""","=""2S""","=""1/2""","=""7""","=""""","=""""",,
"=""93.7801""","=""""","=""1.9728e+07""",AAA,"=""0.00000000000000""","=""[13.22070314214]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
"=""93.7801""","=""""","=""1.9728e+07""",AAA,"=""0.00000000000000""","=""[13.22070146198]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
"=""93.7814""","=""19000""","=""1.6440e+06""",AAA,"=""0.00000000000000""","=""13.22070389""","=""1s""","=""2S""","=""1/2""","=""6""","=""""","=""""",,
"=""94.9742""","=""""","=""3.4375e+07""",AAA,"=""0.00000000000000""","=""13.054501086""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
"=""94.9742""","=""33000""","=""4.1250e+06""",AAA,"=""0.00000000000000""","=""13.0545017""","=""1s""","=""2S""","=""1/2""","=""5""","=""""","=""""",,
"=""94.9742""","=""""","=""3.4375e+07""",AAA,"=""0.00000000000000""","=""13.054498182""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
"=""94.974284001""","=""""","=""""",,"=""0.00000000000000""","=""[13.054502042]""","=""1s""","=""2S""","=""1/2""","=""5d""","=""2D""","=""5/2""",E2,
"=""94.97431001""","=""""","=""""",,"=""0.00000000000000""","=""[13.054498464]""","=""1s""","=""2S""","=""1/2""","=""5s""","=""2S""","=""1/2""",M1,
"=""97.2517""","=""83000""","=""1.2785e+07""",AAA,"=""0.00000000000000""","=""12.7485393""","=""1s""","=""2S""","=""1/2""","=""4""","=""""","=""""",,
"=""97.2541""","=""""","=""6.8186e+07""",AAA,"=""0.00000000000000""","=""12.74853811674""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
"=""97.2541""","=""""","=""6.8186e+07""",AAA,"=""0.00000000000000""","=""12.74853244632""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
"=""102.5728""","=""""","=""1.6725e+08""",AAA,"=""0.00000000000000""","=""12.0875071004""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
